№,Секунда,Микросекунда
1,58,438283
2,58,448470
3,58,458890
4,58,468986
5,58,479342
6,58,489564
7,58,499705
8,58,510135
9,58,520332
10,58,530444
11,58,540815
12,58,551299
13,58,561896
14,58,572195
15,58,582666
16,58,593125
17,58,603441
18,58,613927
19,58,624472
20,58,634727
21,58,645131
22,58,655238
23,58,665669
24,58,675871
25,58,686328
26,58,696662
27,58,706841
28,58,716991
29,58,727382
30,58,737790
31,58,748015
32,58,758089
33,58,768609
34,58,778741
35,58,788927
36,58,799462
37,58,810155
38,58,820635
39,58,831030
40,58,841511
41,58,851745
42,58,862198
43,58,872471
44,58,882667
45,58,893078
46,58,903494
47,58,913950
48,58,924465
49,58,934743
50,58,945059
51,58,955476
52,58,966038
53,58,976460
54,58,986543
55,58,996805
56,59,6937
57,59,17441
58,59,28029
59,59,38209
60,59,48495
61,59,58580
62,59,68901
63,59,79209
64,59,89681
65,59,99745
66,59,109895
67,59,120324
68,59,130802
69,59,141337
70,59,151615
71,59,162082
72,59,172389
73,59,182873
74,59,193041
75,59,203580
76,59,214091
77,59,224285
78,59,234728
79,59,245005
80,59,255130
81,59,265652
82,59,276229
83,59,286394
84,59,296496
85,59,307135
86,59,317635
87,59,328173
88,59,338507
89,59,348826
90,59,359359
91,59,369419
92,59,379566
93,59,389921
94,59,400030
95,59,410547
96,59,420880
97,59,431405
98,59,441702
99,59,452131
100,59,462612
101,59,472698
102,59,482922
103,59,493218
104,59,503556
105,59,514026
106,59,524643
107,59,535122
108,59,545645
109,59,556222
110,59,566709
111,59,577218
112,59,587939
113,59,598081
114,59,608242
115,59,618880
116,59,628968
117,59,639148
118,59,649613
119,59,660048
120,59,670277
121,59,680834
122,59,691110
123,59,701392
124,59,711878
125,59,722497
126,59,732944
127,59,743461
128,59,754005
129,59,764303
130,59,774834
131,59,785392
132,59,795570
133,59,805662
134,59,815755
135,59,826254
136,59,836514
137,59,846991
138,59,857095
139,59,867499
140,59,877570
141,59,887910
142,59,897976
143,59,908237
144,59,918773
145,59,929267
146,59,939344
147,59,949896
148,59,960035
149,59,970210
150,59,980310
151,59,990522
152,0,1039
153,0,11586
154,0,22096
155,0,32171
156,0,42521
157,0,53142
158,0,63348
159,0,74708
160,0,85290
161,0,95352
162,0,105537
163,0,115776
164,0,126317
165,0,136678
166,0,146799
167,0,157204
168,0,167739
169,0,178283
170,0,188726
171,0,198778
172,0,208855
173,0,219270
174,0,229435
175,0,239856
176,0,249931
177,0,260173
178,0,270569
179,0,281065
180,0,291352
181,0,301737
182,0,311990
183,0,322430
184,0,332608
185,0,342711
186,0,353262
187,0,363344
188,0,373580
189,0,384069
190,0,394593
191,0,405117
192,0,415175
193,0,425364
194,0,435723
195,0,445978
196,0,456496
197,0,466552
198,0,477444
199,0,487649
200,0,498146
201,0,508457
202,0,519130
203,0,529615
204,0,539853
205,0,549892
206,0,559953
207,0,570210
208,0,580354
209,0,590565
210,0,601051
211,0,611293
212,0,621337
213,0,631720
214,0,642027
215,0,652310
216,0,662819
217,0,673209
218,0,683312
219,0,693410
220,0,703984
221,0,714176
222,0,724336
223,0,734581
224,0,745031
225,0,755118
226,0,765743
227,0,776187
228,0,786428
229,0,796938
230,0,807160
231,0,817318
232,0,827429
233,0,837778
234,0,848109
235,0,858392
236,0,868717
237,0,879273
238,0,889798
239,0,900117
240,0,910296
241,0,920378
242,0,930523
243,0,940602
244,0,951165
245,0,961607
246,0,971677
247,0,982229
248,0,992343
249,1,3093
250,1,13414
251,1,23589
252,1,34136
253,1,44253
254,1,54511
255,1,64563
256,1,75117
257,1,85438
258,1,95941
259,1,106512
260,1,116686
261,1,127175
262,1,137720
263,1,147884
264,1,158397
265,1,168947
266,1,179435
267,1,189836
268,1,200304
269,1,210706
270,1,220773
271,1,231278
272,1,241733
273,1,252207
274,1,262740
275,1,272866
276,1,283706
277,1,294199
278,1,304263
279,1,314824
280,1,325110
281,1,335514
282,1,345621
283,1,355746
284,1,366184
285,1,376332
286,1,386629
287,1,397082
288,1,407374
289,1,418028
290,1,428222
291,1,438802
292,1,449329
293,1,459455
294,1,470045
295,1,480233
296,1,490873
297,1,500963
298,1,511894
299,1,522101
300,1,532649
